,model_node,model,train_time,optimisation_time,r2,test_node,discrepancy,mmd_score,ocsvm_score,experiment,std,asmmd,r2-d,kernel
0,pi2,"SVR(C=10, epsilon=0.5)",0.3,0.75,0.98,pi4,0.08,0.1,0.58,1,False,0.101280868,0.9,rbf
1,pi4,"SVR(C=10, epsilon=1)",0.02,6.0,0.96,pi2,0.03,0.1,0.85,1,False,0.101280868,0.9299999999999999,rbf
2,pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.0,5.38,0.98,pi4,0.06,0.1,0.58,1,False,0.101280868,0.9199999999999999,linear
3,pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.15,5.57,0.93,pi2,0.03,0.1,0.85,1,False,0.101280868,0.9,linear
4,pi2,"SVR(C=10, epsilon=5)",0.0,0.67,0.35,pi4,0.22,0.18,0.45,2,False,0.192212641,0.12999999999999998,rbf
5,pi4,"SVR(C=10, epsilon=2)",0.02,0.82,0.4,pi2,0.7,0.18,0.77,2,False,0.192212641,-0.29999999999999993,rbf
6,pi2,"SVR(C=0.1, epsilon=5, kernel='linear')",0.0,1.33,0.23,pi4,0.29,0.18,0.45,2,False,0.192212641,-0.05999999999999997,linear
7,pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,0.94,0.01,pi2,0.18,0.18,0.77,2,False,0.192212641,-0.16999999999999998,linear
8,pi2,SVR(),0.01,0.28,0.95,pi4,2.57,0.3,0.35,3,False,0.301618099,-1.6199999999999999,rbf
9,pi4,SVR(C=10),0.01,0.31,0.99,pi2,1.1,0.3,0.43,3,False,0.301618099,-0.1100000000000001,rbf
10,pi2,SVR(kernel='linear'),0.01,0.45,0.96,pi4,0.04,0.3,0.35,3,False,0.301618099,0.9199999999999999,linear
11,pi4,"SVR(C=10, kernel='linear')",0.15,1.15,0.98,pi2,0.05,0.3,0.43,3,False,0.301618099,0.9299999999999999,linear
