model_node,model,train_time,optimisation_time,score,test_node,discrepancy,mmd_score,ocsvm_score,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.68,0.99,pi4,0.1,0.11,0.59,1,False,0.11420674622058868
pi4,SVR(C=10),0.03,0.78,0.96,pi2,0.02,0.11,0.88,1,False,0.11420674622058868
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.02,4.35,0.99,pi4,0.08,0.11,0.59,1,False,0.11420674622058868
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.01,7.19,0.91,pi2,0.06,0.11,0.88,1,False,0.11420674622058868
pi2,"SVR(C=10, epsilon=2)",0.01,0.77,0.3,pi4,0.12,0.19,0.46,2,False,0.19888979196548462
pi4,"SVR(C=10, epsilon=2)",0.02,0.92,0.35,pi2,0.59,0.19,0.77,2,False,0.19888979196548462
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,1.24,0.21,pi4,0.42,0.19,0.46,2,False,0.19888979196548462
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.04,1.06,-0.01,pi2,0.19,0.19,0.77,2,False,0.19888979196548462
pi2,"SVR(C=10, epsilon=0.5)",0.0,0.3,0.95,pi4,2.5,0.31,0.31,3,False,0.31484514474868774
pi4,SVR(C=10),0.01,0.31,0.99,pi2,0.78,0.31,0.42,3,False,0.31484514474868774
pi2,SVR(kernel='linear'),0.01,0.52,0.95,pi4,0.03,0.31,0.31,3,False,0.31484514474868774
pi4,SVR(kernel='linear'),0.03,1.09,0.98,pi2,0.05,0.31,0.42,3,False,0.31484514474868774
